Name,Current price,Change(%),Open,High,Low,Volume
INNOVATIVE EYEWEAR INC.,0.983,428.49,0.2331,1.13,0.223,944432386
GREENWAVE TECHNOLOGY SOLUTIONS,0.0849,14.18,0.089,0.0917,0.076,428983917
NETCAPITAL INC.,0.1925,10.13,0.3077,0.3264,0.1922,191353394
CUE HEALTH INC.,0.0925,11.91,0.1235,0.1378,0.0911,160213858
ONEMEDNET CORP,2.3,56.46,1.6,3.21,1.6,136208255
FARADAY FUTURE INTELLIGENT ELECTRIC,1.16,12.52,1.36,1.37,1.13,112463253
CROWN ELECTROKINETICS,0.101,110.7,0.1103,0.1137,0.0958,105557384
PINEAPPLE ENERGY INC.,0.1781,126.41,0.1892,0.2238,0.1631,98975972
YOSHITSU CO. LTD ADS,0.3,31.58,0.24,0.5019,0.2195,84500316
TESLA INC.,179.24,3.17,174.84,180.08,173.73,65584478
ASCENT SOLAR TECHNOLOGIES INC,0.154,128.27,0.1745,0.1755,0.1315,60103414
SMX (SECURITY MATTERS) PUBLIC,0.1986,31.26,0.1468,0.29,0.1467,57063038
ADVANCED MICRO DEVICES INC.,166.36,3.7,161.41,167.66,160.25,54868646
MARATHON DIGITAL HLD.,21.21,5.63,20.26,21.73,19.86,46639890
SINTX TECHNOLOGIES INC.,0.07,199.56,0.08,0.08,0.07,44753583
NVIDIA CORP.,1064.69,2.57,1044.49,1064.75,1030.0,42949367
INTEL CORP.,30.72,2.13,30.29,31.02,30.13,42434488
FUELCELL ENERGY INC.,0.8747,2.89,0.8479,0.8973,0.82,41738356
NIKOLA CORP.,0.5268,10.34,0.53,0.5402,0.5211,41506082
AKANDA CORP.,4.11,71.97,5.17,5.66,3.03,39116103
MMTEC INC.,0.4676,15.88,0.4689,0.6074,0.4502,38989258
ONCONETIX INC.,0.1819,28.64,0.1446,0.285,0.1372,38461219
APPLE INC.,189.98,1.66,188.82,190.58,188.04,36326975
SELINA HOSPITALITY PLC,0.0889,112.67,0.1,0.1088,0.0851,34877257
SHARPS TECHNOLOGY INC.,0.2143,12.73,0.2,0.2378,0.1739,33834875
NAUTICUS ROBOTICS INC.,0.162,12.11,0.1495,0.1785,0.1426,31410447
CLEANSPARK INC.,17.63,3.16,17.25,18.16,16.82,31356464
AMAZON.COM INC.,180.75,10.17,181.65,182.43,180.3,27471640
RIVIAN AUTOMOTIVE INC.,10.44,4.92,10.06,10.46,10.02,25691347
LILIUM N.V.,0.8923,115.82,0.95,0.96,0.8499,24034056
LUCID GROUP INC.,2.78,2.21,2.74,2.79,2.61,23981519
BITFARMS LTD.,2.02,3.06,1.98,2.12,1.94,23814426
WARNER BROS. DISCOVERY,7.72,0.26,7.74,7.78,7.63,23370921
GRAB HOLDINGS LTD.,3.66,10.27,3.65,3.71,3.64,21928137
SOFI TECHNOLOGIES INC.,6.92,1.32,6.87,7.0,6.87,21665889
ROBINHOOD MARKETS INC.,20.51,6.6,19.3,20.57,19.07,20914822
AKOUSTIS TECHNOLOGIES INC.,0.206,11.81,0.1945,0.218,0.179,20609127
SIRIUS XM HOLDINGS INC.,2.75,0.73,2.74,2.76,2.7,19840776
VERASTEM INC.,4.12,166.17,4.69,5.25,4.02,19714895
AMERICAN AIRLINES GROUP INC.,13.84,0.14,13.87,14.03,13.66,19605630
PDD HOLDINGS INC. ADS,157.57,2.56,158.89,164.69,157.46,19118752
JD.COM INC. ADS,30.27,12.98,30.94,31.1,30.17,18961575
IRIS ENERGY LTD.,7.83,10.75,7.11,8.16,7.05,18558431
PLUG POWER INC.,3.25,5.52,3.13,3.31,3.08,18501514
ALPHABET INC. CLASS A,174.99,0.83,174.98,175.77,173.65,16579438
AGRIFORCE GROWING SYSTEMS,0.1225,114.63,0.1392,0.1398,0.1203,16498507
BRUUSH ORAL CARE INC.,0.1398,16.8,0.1535,0.154,0.1341,15857449
WORKDAY INC.,220.91,115.33,232.19,236.95,219.39,15622846
MICROCLOUD HOLOGRAM INC.,1.65,12.94,1.7,1.7,1.57,15165929
SOUNDHOUND AI INC.,5.06,1.4,5.0,5.09,4.93,14892239
RIOT PLATFORMS INC.,10.37,4.01,10.08,10.62,9.96,14857379
ZOOMCAR HOLDINGS INC.,0.184,128.4,0.1919,0.198,0.1648,14604319
COMCAST CORP.,38.54,10.36,38.74,38.82,38.25,14375674
SUNRUN INC.,13.39,11.68,11.94,13.43,11.94,14315549
MICRON TECHNOLOGY INC.,129.49,2.55,127.82,130.4,126.6,14048894
QUALCOMM INC.,210.36,4.26,203.89,211.3,203.56,13809903
POLESTAR AUTOMOTIVE HOLDING UK,0.78,17.15,0.7999,0.87,0.7412,13669264
CYNGN INC.,0.1167,16.27,0.13,0.13,0.1141,13645523
JETBLUE AIRWAYS,5.45,12.68,5.62,5.64,5.35,13496438
ERICSSON ADS,5.86,10.17,5.9,5.94,5.86,13165852
NOVAVAX INC.,15.5,2.31,15.47,15.96,14.96,12749506
TIAN RUIXIANG HLD.,3.18,18.22,3.39,3.83,2.72,12697466
PETCO HEALTH AND WELLNESS CO.,3.58,12.93,3.21,3.7,3.13,12410311
META PLATFORMS INC.,478.22,2.67,467.62,479.85,466.3,12024254
CISCO SYSTEMS INC.,46.42,10.39,46.63,46.79,46.38,11941076
MICROSOFT CORP.,430.16,0.74,427.19,431.05,424.41,11855285
QURATE RETAIL INC. SERIES A,0.7273,12.03,0.6888,0.78,0.6845,11548774
WORKHORSE GROUP INC.,0.2151,9.97,0.1972,0.2198,0.19,11431063
ALPHABET INC. CLASS C,176.33,0.73,176.52,177.3,175.2,11403560
SOLOWIN HLD.,4.59,125.97,5.65,5.67,4.0,11187296
